,Principal Approve Amount,Principal Amount,Repayment Tenor Month Number,Gender,Occupation Description,Total Income Amount (Month),Collateral Type Code,Vehicle Brand,Vehicle Model,Vehicle Release Year,System CAR Code (Daily),DPD,age,Vehicle Age
38468,210000.0,210000.0,120,1,8,20000.0,2,10,139,2014,1,PL,54,9
38513,29000.0,28072.27,30,1,4,28000.0,1,4,41,2016,0,PL,35,7
38737,29974.38,29527.62,72,1,8,15000.0,1,4,147,2021,1,PL,30,2
38738,103900.0,102134.64,60,1,8,12000.0,0,2,47,2010,1,PL,46,13
38740,29235.29,28801.3,72,0,0,12000.0,1,4,41,2016,1,PL,51,7
38752,26908.2,26501.44,72,0,8,9000.0,1,4,144,2014,1,PL,35,9
38764,180000.0,177289.32,72,1,9,12000.0,2,5,36,2006,1,PL,31,17
38876,26000.0,26000.0,12,1,4,15000.0,1,4,147,2020,0,PL,24,3
38989,9000.0,9000.0,12,0,8,10000.0,1,18,50,2007,0,PL,56,16
38997,26500.0,25420.73,24,0,1,14000.0,1,4,23,2018,0,PL,50,5
39014,18000.0,18000.0,36,1,8,9400.0,1,4,146,2010,0,PL,26,13
39095,10000.0,9479.2,18,0,9,15000.0,1,4,120,2007,0,PL,46,16
39145,200000.0,200000.0,120,0,0,30000.0,2,10,139,2012,1,PL,42,11
39155,250000.0,250000.0,120,0,0,20000.0,2,16,65,2011,1,PL,52,12
39158,32846.49,31745.39,42,0,8,11400.0,1,4,144,2019,1,PL,31,4
39385,20000.0,18897.93,18,1,4,16000.0,1,4,144,2013,0,PL,33,10
39496,85000.0,85000.0,120,1,5,12000.0,0,16,142,2004,1,PL,37,19
39673,25000.0,24319.58,36,1,4,10000.0,1,4,144,2015,0,PL,40,8
39923,24000.0,24000.0,30,0,0,30000.0,1,4,111,2016,0,PL,29,7
39991,24000.0,23969.51,18,0,4,15000.0,1,18,58,2015,0,PL,31,8
40246,18000.0,18000.0,36,0,0,20000.0,1,18,51,2011,1,PL,26,12
40262,48000.0,48000.0,48,0,0,15000.0,1,4,97,2018,1,PL,33,5
40288,170000.0,170000.0,72,0,0,30000.0,0,16,152,2010,1,PL,46,13
40293,234000.0,230759.61,120,1,0,30000.0,2,5,36,2006,1,PL,65,17
40297,29928.39,29928.39,48,0,0,20000.0,1,4,144,2019,1,PL,27,4
40307,200000.0,200000.0,120,0,5,15000.0,2,16,65,2006,1,PL,45,17
40692,12800.0,12448.22,36,0,4,18000.0,1,4,22,2010,0,PL,35,13
40733,199500.0,199500.0,120,1,9,30000.0,2,16,65,2008,1,PL,53,15
40754,29701.43,29701.43,72,0,0,20000.0,1,4,144,2017,1,PL,58,6
40763,33000.0,32727.52,72,0,8,9000.0,1,4,144,2020,1,PL,32,3
40764,28500.0,27972.14,72,0,4,13000.0,1,4,144,2012,1,PL,45,11
40769,220000.0,219480.71,120,0,4,26000.0,2,5,36,2007,1,PL,43,16
41159,22000.0,22000.0,48,0,9,15000.0,2,16,64,2003,1,PL,53,20
41160,150000.0,150000.0,84,0,9,15000.0,2,16,64,2003,1,PL,53,20
42273,210000.0,210000.0,60,1,0,20000.0,0,4,19,2013,1,PL,55,10
42439,189000.0,189000.0,72,0,4,20620.0,0,16,142,2013,1,PL,46,10
43069,31632.28,31632.28,48,0,8,10000.0,1,4,144,2019,1,PL,50,4
43073,22853.47,22853.47,36,0,4,10000.0,1,3,38,2019,1,PL,34,4
