,Principal Approve Amount,Principal Amount,Repayment Tenor Month Number,Gender,Occupation Description,Total Income Amount (Month),Collateral Type Code,Vehicle Brand,Vehicle Model,Vehicle Release Year,System CAR Code (Daily),DPD,age,Vehicle Age
25300,14200.0,14200.0,24,0,4,7000.0,1,4,4,2007,0,PL,40,16
25369,20000.0,19019.94,18,0,4,9000.0,0,16,29,2000,0,PL,35,23
25394,13900.0,13900.0,18,1,8,12000.0,1,4,22,2011,0,PL,46,12
25432,23000.0,22613.96,24,0,9,12000.0,1,4,144,2010,0,PL,49,13
25486,16800.0,16737.75,36,1,8,18500.0,1,4,23,2012,0,PL,40,11
25513,26000.0,25868.94,36,0,4,10000.0,1,4,144,2014,0,PL,40,9
25518,24500.0,24500.0,36,0,4,12000.0,1,4,111,2017,0,PL,35,6
25539,24000.0,24000.0,36,1,4,9700.0,1,4,23,2017,1,PL,25,6
25612,26400.0,26323.37,36,0,0,20000.0,1,4,144,2012,0,PL,23,11
25613,12800.0,12800.0,36,0,9,15000.0,1,4,144,2008,0,PL,34,15
25658,28000.0,23558.38,12,0,8,14000.0,1,18,75,2018,0,PL,48,5
25683,28800.0,28733.24,36,0,4,22000.0,1,4,111,2019,0,PL,37,4
25913,27000.0,26923.74,36,0,0,8000.0,1,4,144,2015,0,PL,24,8
25954,29000.0,27808.58,36,0,10,20000.0,1,4,147,2019,0,PL,50,4
25960,21000.0,20130.32,36,0,9,14000.0,1,4,131,2017,0,PL,38,6
26012,12500.0,12500.0,24,0,0,10000.0,1,18,50,2009,0,PL,45,14
26019,26000.0,25574.04,24,0,9,10000.0,1,4,144,2013,0,PL,55,10
26024,22000.0,22000.0,18,1,0,25000.0,1,4,144,2012,0,PL,40,11
26031,20000.0,20000.0,18,0,8,12000.0,1,4,144,2017,0,PL,27,6
26054,26500.0,25431.43,24,1,0,10000.0,1,4,144,2013,0,NPL,27,10
26131,34000.0,34000.0,36,1,8,20000.0,1,18,45,2020,0,PL,40,3
26183,28000.0,27059.53,18,0,0,25000.0,1,4,111,2019,0,PL,55,4
26254,14000.0,13024.24,24,1,9,10000.0,1,4,144,2009,0,PL,62,14
26259,12600.0,11908.79,18,0,8,12000.0,1,18,52,2013,0,PL,44,10
26299,13000.0,13000.0,12,0,0,25000.0,1,4,22,2009,0,PL,54,14
26332,255000.0,255000.0,60,1,0,30000.0,2,2,103,2017,0,PL,31,6
26333,31000.0,30447.3,24,1,0,13000.0,1,4,144,2019,0,PL,33,4
26373,29000.0,29000.0,36,1,8,15000.0,1,4,144,2016,0,PL,39,7
26377,15500.0,15104.4,36,0,0,12000.0,1,4,111,2010,0,PL,48,13
26418,27000.0,27000.0,36,0,8,12000.0,1,4,111,2019,0,PL,40,4
26453,29000.0,28813.52,36,0,0,9000.0,1,4,144,2016,0,PL,28,7
26464,12500.0,12228.68,12,0,0,20000.0,1,4,22,2010,0,PL,44,13
26615,28000.0,26820.63,36,1,0,23000.0,1,18,101,2018,0,PL,34,5
26637,15000.0,14364.26,36,0,4,12000.0,1,4,144,2011,0,PL,31,12
26651,26000.0,25779.16,36,0,9,20000.0,1,4,144,2014,0,PL,58,9
26772,25000.0,25000.0,36,0,0,13000.0,1,4,144,2019,1,PL,53,4
26791,27000.0,26768.36,36,0,0,20000.0,1,4,42,2017,0,PL,41,6
26805,9500.0,9500.0,12,0,0,30000.0,1,3,32,2014,0,PL,40,9
26879,28500.0,28500.0,36,1,0,18000.0,1,4,132,2019,0,PL,39,4
26897,260000.0,260000.0,48,0,5,18634.0,0,4,19,2017,1,PL,29,6
26961,25000.0,25000.0,36,1,8,30000.0,1,4,144,2013,0,PL,36,10
27018,24000.0,22903.24,36,0,0,12000.0,1,4,23,2017,0,PL,63,6
27079,24500.0,24384.56,36,0,4,15000.0,1,4,111,2018,0,PL,35,5
27101,29000.0,29000.0,24,1,8,15000.0,1,4,42,2017,0,PL,27,6
27155,28000.0,27064.68,36,0,0,20000.0,1,4,144,2019,1,PL,31,4
27156,17500.0,17181.71,24,0,0,25000.0,1,4,111,2015,0,PL,39,8
27160,10000.0,9854.41,12,1,8,13000.0,1,4,111,2013,0,PL,35,10
27197,26400.0,26400.0,24,0,9,15000.0,1,4,144,2013,0,PL,38,10
27218,20000.0,19190.75,24,1,8,15000.0,1,4,23,2017,0,PL,43,6
27258,30000.0,30000.0,36,1,8,25000.0,1,4,144,2016,1,NPL,39,7
27298,21200.0,20754.96,24,1,9,15000.0,1,4,86,2015,0,PL,24,8
27311,27000.0,26972.86,12,0,9,20000.0,1,4,144,2012,0,PL,44,11
27397,18400.0,18051.86,24,0,9,15000.0,1,4,23,2013,0,PL,34,10
27410,29000.0,28462.75,24,0,4,20000.0,1,4,147,2019,0,PL,26,4
27420,24500.0,23706.36,18,1,4,15000.0,1,4,147,2017,0,PL,41,6
