,Principal Approve Amount,Principal Amount,Repayment Tenor Month Number,Gender,Occupation Description,Total Income Amount (Month),Collateral Type Code,Vehicle Brand,Vehicle Model,Vehicle Release Year,Vehicle Sub Model,Evaluation Amount,System CAR Code (Daily),System CAR Code Date,Final CAR Code Previous Month,DPD,age,Vehicle Age,per_LTV,per_LTV_cate
961,230000,227576.53,60,F,STREET VENDOR,26000,PU,TOYOTA,HILUX VIGO,2007,DG,305500,S1,24/8/2022,S1,PL,45,16,75.28641571,75%
962,40000,40000,36,M,อื่นๆ,20000,MC,YAMAHA,GRAND FILANO 125,2020,AU,53500,S1,30/12/2022,S1,PL,65,3,74.76635514,65-75%
963,105000,103819.67,36,M,พนักงานบริษัท,39058,CAR,HONDA,JAZZ,2005,BJ,164000,S1,9/11/2022,S1,PL,55,18,64.02439024,65-75%
964,120000,119262.05,60,F,บุคลากรทางการแพทย์,30000,CAR,HONDA,CIVIC,2005,AV,167500,S1,4/10/2022,S1,PL,48,18,71.64179104,65-75%
966,51600,39536.15,12,M,ข้าราชการ,15000,PU,FORD,RANGER,2006,CB,172000,S1,11/10/2022,S1,PL,27,17,30,30%
967,100000,100000,36,M,STREET VENDOR,25000,PU,ISUZU,D-MAX,2004,BA,190500,S1,24/12/2022,S1,PL,60,19,52.49343832,50-65%
968,26100,25012.71,36,F,พนักงานบริษัท,13000,MC,HONDA,WAVE 125 I,2018,DC,34900,S1,24/10/2022,S1,PL,26,5,74.78510029,65-75%
970,14000,14000,12,F,พนักงานบริษัท,12000,MC,HONDA,WAVE 110 I,2009,AF,19000,S1,13/12/2022,S1,PL,44,14,73.68421053,65-75%
971,8700,8700,12,F,STREET VENDOR,17590,MC,HONDA,CLICK 110,2007,AB,13500,S1,26/12/2022,S1,PL,55,16,64.44444444,65-75%
972,33000,33000,36,F,STREET VENDOR,12000,MC,HONDA,WAVE 110 I,2019,DU,44000,S1,1/12/2022,S1,PL,27,4,75,65-75%
973,26000,26000,36,M,พนักงานบริษัท,26000,MC,HONDA,WAVE 110 I,2016,CM,40000,S1,24/12/2022,S1,PL,41,7,65,65-75%
974,9000,6176.49,12,M,STREET VENDOR,20000,MC,YAMAHA,FINO (4DO),2007,AA,13000,S1,1/8/2022,S1,PL,56,16,69.23076923,65-75%
975,29000,29000,36,M,พนักงานบริษัท,12000,MC,HONDA,WAVE 110 I,2016,CK,39000,S1,20/12/2022,S1,PL,46,7,74.35897436,65-75%
976,26000,22452.16,12,M,อื่นๆ,12000,MC,HONDA,CLICK 125I,2019,BD,42000,S1,26/9/2022,S1,PL,49,4,61.9047619,65-75%
978,210000,208321.83,60,M,STREET VENDOR,30000,PU,ISUZU,D-MAX,2007,DB,267000,S1,18/10/2022,S1,PL,64,16,78.65168539,75%
979,100000,100000,60,F,STREET VENDOR,30000,PU,TOYOTA,HILUX TIGER,2004,BS,170500,S1,10/11/2022,S1,PL,45,19,58.65102639,50-65%
980,30000,29108.35,30,M,STREET VENDOR,15000,PU,NISSAN,FRONTIER,2006,BI,171000,S1,4/10/2022,S1,PL,56,17,17.54385965,30%
981,120000,120000,60,F,เกษตรกร,20000,PU,ISUZU,D-MAX,2003,AG,186000,S1,14/12/2022,S1,PL,64,20,64.51612903,65-75%
982,20000,16453.93,18,F,อื่นๆ,10000,MC,HONDA,WAVE 110 I,2018,DI,43000,S1,1/8/2022,S1,PL,47,5,46.51162791,30-50%
983,129400,127765.76,48,F,STREET VENDOR,30000,VAN,TOYOTA,COMMUTER,2007,BP,249000,S1,9/10/2022,S1,PL,45,16,51.96787149,50-65%
984,40000,39928.36,36,F,อื่นๆ,22000,MC,YAMAHA,GRAND FILANO 125,2020,AU,53500,S1,15/8/2022,S1,PL,36,3,74.76635514,65-75%
985,10000,10000,24,M,พนักงานบริษัท,15000,MC,HONDA,WAVE 110 I,2018,DG,42000,S1,16/12/2022,S1,PL,46,5,23.80952381,30%
986,30000,27858.73,12,M,อื่นๆ,15000,MC,HONDA,CLICK 125I,2019,BD,42000,S1,15/11/2022,S1,PL,39,4,71.42857143,65-75%
987,37000,36871.99,36,F,พนักงานบริษัท,13000,MC,YAMAHA,GRAND FILANO 125,2019,AW,50000,S1,30/10/2022,S1,PL,40,4,74,65-75%
989,18000,17038.85,18,F,พนักงานบริษัท,11500,MC,YAMAHA,FINO (MLEKE),2011,AD,24000,S1,8/12/2022,S1,PL,33,12,75,65-75%
991,13000,10100.6,12,M,STREET VENDOR,30000,MC,HONDA,WAVE 110 I,2009,AF,19000,S1,24/8/2022,S1,PL,62,14,68.42105263,65-75%
992,280000,280000,60,F,STREET VENDOR,25000,CAR,TOYOTA,COROLLA ALTIS,2015,AU,382500,S1,6/10/2022,S1,PL,41,8,73.20261438,65-75%
993,33700,32762.44,36,F,อื่นๆ,6500,MC,HONDA,DREAM 110,2016,CB,45000,S1,7/10/2022,S1,PL,60,7,74.88888889,65-75%
994,170000,168712.68,36,F,เกษตรกร,15000,PU,ISUZU,D-MAX,2008,DU,303500,S1,3/9/2022,S1,PL,46,15,56.01317957,50-65%
995,90000,89958.53,48,M,พนักงานบริษัท,19000,CAR,TOYOTA,VIOS,2004,CM,119500,S1,15/8/2022,S1,PL,41,19,75.31380753,75%
996,130000,130000,60,F,STREET VENDOR,25000,CAR,TOYOTA,COROLLA ALTIS,2012,GK,355500,S1,21/11/2022,S1,PL,41,11,36.56821378,30-50%
997,26000,25048.24,30,F,พนักงานบริษัท,15000,MC,HONDA,WAVE 110 I,2013,CC,35500,S1,30/8/2022,S1,PL,50,10,73.23943662,65-75%
998,20000,20000,18,M,พนักงานบริษัท,16000,MC,HONDA,WAVE 110 I,2017,CR,40000,S1,30/12/2022,S1,PL,37,6,50,30-50%
999,28225.5,28225.5,24,F,พนักงานบริษัท,15000,MC,HONDA,WAVE 110 I,2018,DI,43000,S2,29/12/2022,S2,PL,40,5,65.64069767,65-75%
1000,200000,200000,60,M,อื่นๆ,35000,PU,ISUZU,D-MAX,2012,CL,293000,S1,24/10/2022,S1,PL,41,11,68.25938567,65-75%
1001,20000,19135.34,30,M,ข้าราชการ,27490,MC,HONDA,WAVE 110 I,2013,CC,35500,S1,3/10/2022,S1,PL,64,10,56.33802817,50-65%
1002,48000,48000,60,M,พนักงานรัฐวิสาหกิจ,12000,CAR,CHEVROLET,SONIC,2013,AA,159000,S1,2/9/2022,S1,PL,34,10,30.18867925,30-50%
1003,174600,174600,60,F,อื่นๆ,15000,PU,MAZDA,BT-50,2011,AX,249500,S1,21/10/2022,S1,PL,35,12,69.97995992,65-75%
1004,110000,110000,60,F,STREET VENDOR,25000,CAR,HONDA,JAZZ,2006,CM,175000,S1,11/11/2022,S1,PL,39,17,62.85714286,65-75%
1005,28000,25346.33,24,M,พนักงานบริษัท,10000,MC,HONDA,WAVE 110 I,2019,DO,42000,S1,4/8/2022,S1,PL,37,4,66.66666667,65-75%
1007,26000,26000,24,F,อื่นๆ,12000,MC,HONDA,WAVE 110 I,2016,CM,40000,S1,31/10/2022,S1,PL,59,7,65,65-75%
1009,15000,14797.86,12,F,พนักงานบริษัท,16000,MC,HONDA,SCOOPY I,2013,BI,20000,S1,30/6/2022,S1,PL,37,10,75,65-75%
1010,120000,118640.31,36,F,STREET VENDOR,30000,CAR,NISSAN,ALMERA,2013,BI,196000,S1,25/8/2022,S1,PL,43,10,61.2244898,65-75%
1011,10000,10000,12,F,STREET VENDOR,20000,MC,YAMAHA,FINO (MLEKE),2008,AH,22500,S1,3/12/2022,S1,PL,59,15,44.44444444,30-50%
1013,75000,75000,48,M,อื่นๆ,12000,CAR,TOYOTA,VIOS,2004,FE,116000,S1,4/11/2022,S1,PL,48,19,64.65517241,65-75%
1014,50000,26634,12,M,เกษตรกร,30000,PU,TOYOTA,HILUX VIGO,2008,EM,269000,S1,6/7/2022,S1,PL,51,15,18.58736059,30%
1015,113600,113600,60,F,อื่นๆ,40000,CAR,HONDA,CITY,2005,DB,150500,S1,13/12/2022,S1,PL,40,18,75.48172757,75%
1016,10000,10000,24,F,พนักงานบริษัท,12000,MC,HONDA,CLICK 110,2009,AB,14500,S1,22/12/2022,S1,PL,25,14,68.96551724,65-75%
1017,30000,29425.2,36,F,STREET VENDOR,15000,MC,HONDA,WAVE 110 I,2018,DG,42000,S1,26/11/2022,S1,PL,33,5,71.42857143,65-75%
1018,10000,10000,12,M,อื่นๆ,14000,MC,HONDA,WAVE 125 I,2018,DC,34900,S1,23/12/2022,S1,PL,45,5,28.65329513,30%
1019,48000,47867.77,36,F,พนักงานบริษัท,19000,MC,HONDA,PCX 150,2018,DD,64500,S1,16/10/2022,S1,PL,25,5,74.41860465,65-75%
1021,200000,200000,60,F,พนักงานบริษัท,20000,CAR,HONDA,CITY,2016,AE,372500,S1,15/10/2022,S1,PL,41,7,53.69127517,50-65%
1022,50000,49638.32,36,M,พนักงานบริษัท,25000,MC,HONDA,PCX 150,2019,DN,72000,S1,17/9/2022,S1,PL,43,4,69.44444444,65-75%
1023,15000,15000,36,M,พนักงานบริษัท,9000,MC,HONDA,CLICK 125I,2014,AP,22500,S1,15/12/2022,S1,PL,30,9,66.66666667,65-75%
1025,26000,25351.5,36,M,เกษตรกร,20000,MC,HONDA,WAVE 110 I,2012,AZ,35000,S1,7/10/2022,S1,PL,53,11,74.28571429,65-75%
1026,20000,20000,24,F,ข้าราชการ,30000,MC,HONDA,WAVE 110 I,2015,CI,37000,S1,13/9/2022,S1,PL,64,8,54.05405405,50-65%
1027,30000,28478.47,36,M,อื่นๆ,15000,MC,HONDA,WAVE 110 I,2018,DE,41000,S1,6/9/2022,S1,PL,47,5,73.17073171,65-75%
1028,200000,195064.77,60,F,STREET VENDOR,30000.9,CAR,TOYOTA,COROLLA ALTIS,2011,FA,284500,S1,11/11/2022,S1,PL,45,12,70.29876977,65-75%
1029,240000,240000,60,M,STREET VENDOR,20000,CAR,TOYOTA,AVANZA,2014,AT,324000,S1,8/12/2022,S1,PL,33,9,74.07407407,65-75%
1030,21000,18028.73,12,F,พนักงานบริษัท,15000,MC,HONDA,MSX 125,2017,BP,28000,S1,8/10/2022,S1,PL,28,6,75,65-75%
1031,30000,29992.13,18,M,พนักงานบริษัท,11000,MC,YAMAHA,GRAND FILANO 125,2019,AY,46500,S1,7/9/2022,S1,PL,28,4,64.51612903,65-75%
1032,130000,130000,60,M,STREET VENDOR,40000,PU,NISSAN,FRONTIER NAVARA,2011,AA,197000,S1,4/11/2022,S1,PL,48,12,65.98984772,65-75%
1034,27000,25486.99,24,M,พนักงานบริษัท,13500,CAR,TOYOTA,SOLUNA,2001,DU,89000,S1,20/9/2022,S1,PL,56,22,30.33707865,30-50%
1035,200000,200000,60,F,อาจารย์,36130,PU,ISUZU,D-MAX,2008,AW,311000,S1,6/10/2022,S1,PL,41,15,64.30868167,65-75%
1036,159900,159900,60,M,อื่นๆ,20000,CAR,MAZDA,2,2012,CB,246000,S1,14/12/2022,S1,PL,35,11,65,65-75%
1037,36000,36000,36,M,พนักงานบริษัท,14000,MC,HONDA,WAVE 125 I,2021,DK,49000,S1,17/12/2022,S1,PL,54,2,73.46938776,65-75%
1038,30000,29994.32,24,F,STREET VENDOR,30000,MC,HONDA,WAVE 110 I,2019,DU,44000,S1,27/10/2022,S1,PL,31,4,68.18181818,65-75%
1040,28000,26856.66,24,F,พนักงานบริษัท,13000,MC,HONDA,SCOOPY I,2020,DB,38000,S1,29/11/2022,S1,PL,33,3,73.68421053,65-75%
1041,17000,16573.1,36,M,อื่นๆ,9000,MC,YAMAHA,FINN 115I,2018,AJ,23000,S1,14/7/2022,S1,PL,49,5,73.91304348,65-75%
1043,27300,27285.14,24,F,พนักงานบริษัท,9500,MC,HONDA,SUPER CUB 110,2018,CA,36500,S1,18/10/2022,S1,PL,37,5,74.79452055,65-75%
1045,150000,149939.64,48,F,พนักงานบริษัท,35000,CAR,TOYOTA,WISH,2005,ER,259000,S1,1/11/2022,S1,PL,30,18,57.91505792,50-65%
1046,22500,22451.48,12,M,ข้าราชการ,20000,MC,YAMAHA,QBIX 125 S,2017,CU,34500,S1,26/8/2022,S1,PL,71,6,65.2173913,65-75%
1047,25000,24346.52,36,F,เกษตรกร,15000,MC,HONDA,WAVE 110I,2019,CX,38500,S1,14/9/2022,S1,PL,30,4,64.93506494,65-75%
1048,24000,23776.29,24,F,พนักงานบริษัท,18000,MC,HONDA,SCOOPY I,2017,CA,32000,S1,5/10/2022,S1,PL,49,6,75,65-75%
1049,10000,10000,12,M,อื่นๆ,12000,MC,HONDA,WAVE 125 I,2019,DR,38900,S1,22/12/2022,S1,PL,26,4,25.70694087,30%
1050,28000,28000,36,F,อื่นๆ,15000,MC,HONDA,WAVE 110 I,2012,BE,37000,S1,3/10/2022,S1,PL,26,11,75.67567568,75%
1052,130000,128509.74,60,F,STREET VENDOR,30000,PU,SUZUKI,CARRY,2015,AM,186000,S1,7/12/2022,S1,PL,44,8,69.89247312,65-75%
1054,100000,97550.79,36,F,เกษตรกร,25000,CAR,TOYOTA,CAMRY,2004,DN,215000,S1,10/11/2022,S1,PL,55,19,46.51162791,30-50%
1055,50000,49687.58,30,M,พนักงานบริษัท,26000,CAR,TOYOTA,VIOS,2013,DW,271500,S1,24/10/2022,S1,PL,48,10,18.41620626,30%
1056,27000,25757.22,36,F,ข้าราชการ,20000,MC,HONDA,WAVE 110 I,2012,BC,36000,S1,27/10/2022,S1,PL,41,11,75,65-75%
1057,200000,199003.24,60,M,อื่นๆ,15600,PU,MITSUBISHI,TRITON,2009,CD,308000,S1,5/9/2022,S1,PL,36,14,64.93506494,65-75%
1058,150000,150000,60,F,พนักงานบริษัท,10000,PU,TOYOTA,HILUX REVO,2016,AG,416000,S1,19/12/2022,S1,PL,27,7,36.05769231,30-50%
1059,160000,160000,60,F,อื่นๆ,16000,PU,TOYOTA,HILUX VIGO,2006,FG,242000,S1,15/12/2022,S1,PL,22,17,66.11570248,65-75%
1060,249000,249000,60,M,เกษตรกร,16500,PU,TOYOTA,HILUX VIGO,2010,DG,361500,S1,27/12/2022,S1,PL,64,13,68.87966805,65-75%
1063,70000,70000,36,M,ข้าราชการ,14000,MC,HONDA,FORZA 300,2018,BK,112500,S1,8/12/2022,S1,PL,32,5,62.22222222,65-75%
1064,120000,120000,60,M,อื่นๆ,35000,PU,MITSUBISHI,TRITON,2012,BZ,212500,S1,6/12/2022,S1,PL,57,11,56.47058824,50-65%
1065,13000,12549.47,24,M,พนักงานบริษัท,15000,MC,HONDA,ZOOMER X 110I,2012,AQ,17500,S2,24/11/2022,S2,PL,60,11,74.28571429,65-75%
1066,70000,68301.8,60,F,เกษตรกร,16000,PU,TOYOTA,HILUX VIGO,2007,CS,246000,S1,3/8/2022,S1,PL,53,16,28.45528455,30%
1067,150000,150000,60,M,พนักงานบริษัท,28000,PU,TOYOTA,HILUX VIGO,2005,CO,215000,S1,2/12/2022,S1,PL,49,18,69.76744186,65-75%
1068,26000,24981.38,36,M,อื่นๆ,18000,MC,HONDA,CBR 150,2017,AU,35000,S1,19/8/2022,S1,PL,46,6,74.28571429,65-75%
1069,20700,20700,24,F,STREET VENDOR,20000,MC,YAMAHA,GRAND FILANO 125,2014,AM,27500,S1,19/11/2022,S1,PL,28,9,75.27272727,75%
1070,35200,34432.68,36,F,พนักงานบริษัท,15000,MC,HONDA,SCOOPY I,2020,AJ,47000,S1,25/11/2022,S1,PL,40,3,74.89361702,65-75%
1071,110000,109407.43,60,F,พนักงานบริษัท,15000,CAR,TOYOTA,VIOS,2006,AD,147500,S1,13/9/2022,S1,PL,42,17,74.57627119,65-75%
1072,17800,17800,36,M,พนักงานรัฐวิสาหกิจ,21000,MC,YAMAHA,FINO (MLEKE),2012,AE,25000,S1,17/12/2022,S1,PL,57,11,71.2,65-75%
1073,24000,23996.76,24,F,พนักงานบริษัท,18000,MC,HONDA,SCOOPY I,2018,CH,32000,S1,30/8/2022,S1,PL,26,5,75,65-75%
1074,20000,18351.4,18,M,STREET VENDOR,20000,MC,HONDA,WAVE 110 I,2019,DO,42000,S1,19/12/2022,S2,PL,40,4,47.61904762,30-50%
1075,23000,22487.12,36,M,พนักงานบริษัท,17000,MC,HONDA,MOOVE 110I,2017,BO,30500,S1,14/9/2022,S1,PL,33,6,75.40983607,75%
1076,34000,33070.18,24,F,อื่นๆ,12000,MC,HONDA,WAVE 110 I,2021,DQ,46000,S1,11/11/2022,S1,PL,25,2,73.91304348,65-75%
1077,150000,150000,60,F,อื่นๆ,15000,PU,TOYOTA,HILUX TIGER,2003,BE,190000,S1,26/8/2022,S1,PL,40,20,78.94736842,75%
1078,100000,100000,60,F,STREET VENDOR,20500,CAR,FORD,FIESTA,2010,BU,148500,S1,13/12/2022,S1,PL,33,13,67.34006734,65-75%
1079,9400,8562.67,36,F,อื่นๆ,14000,MC,YAMAHA,MIO 125,2010,AE,12500,S1,23/9/2022,S1,PL,45,13,75.2,75%
1080,165000,165000,60,M,พนักงานบริษัท,20000,PU,ISUZU,D-MAX,2005,CE,217000,S1,26/12/2022,S1,PL,52,18,76.03686636,75%
1081,30000,30000,36,F,อื่นๆ,20000,MC,HONDA,WAVE 110 I,2018,DE,41000,S1,19/12/2022,S1,PL,31,5,73.17073171,65-75%
1083,33000,33000,36,F,STREET VENDOR,20000,MC,HONDA,SCOOPY CLUB 12,2020,EK,44500,S1,14/12/2022,S1,PL,41,3,74.15730337,65-75%
1084,9500,7144.7,18,M,อื่นๆ,12000,MC,GPX,CR5 200,2016,AA,13500,S1,21/7/2022,S1,PL,45,7,70.37037037,65-75%
1087,25000,19602.95,12,M,อื่นๆ,27000,MC,YAMAHA,N-MAX 155,2015,BI,39500,S1,29/8/2022,S1,PL,30,8,63.29113924,65-75%
1088,140000,139930.72,60,F,พนักงานบริษัท,17375,CAR,HONDA,ACCORD,2004,AD,195500,S1,28/11/2022,S1,PL,41,19,71.6112532,65-75%
1090,122000,121009.28,48,F,STREET VENDOR,40000,CAR,TOYOTA,VIOS,2008,AL,188000,S1,19/10/2022,S1,PL,38,15,64.89361702,65-75%
1091,25000,19101.95,18,M,STREET VENDOR,25000,MC,HONDA,WAVE 110 I,2016,CK,39000,S1,22/7/2022,S1,PL,68,7,64.1025641,65-75%
1092,169000,165903.9,60,F,STREET VENDOR,30000,CAR,NISSAN,LIVINA,2014,CN,260500,S1,30/10/2022,S1,PL,34,9,64.87523992,65-75%
1093,200000,197927.86,60,F,อาจารย์,30000,CAR,HONDA,CITY,2012,BT,284500,S1,7/9/2022,S1,PL,38,11,70.29876977,65-75%
1094,43000,41624.86,18,M,เกษตรกร,22000,PU,CHEVROLET,COLORADO,2005,BQ,143500,S1,10/11/2022,S1,PL,45,18,29.96515679,30%
1095,217500,217500,60,M,พนักงานบริษัท,30000,CAR,TOYOTA,VIOS,2013,DU,290000,S1,3/10/2022,S1,PL,38,10,75,65-75%
1096,24000,23036.9,24,F,พนักงานบริษัท,18000,MC,YAMAHA,GRAND FILANO 125,2016,CL,32500,S1,6/12/2022,S1,PL,44,7,73.84615385,65-75%
1097,150000,149997.79,60,M,พนักงานบริษัท,24355.09,PU,NISSAN,FRONTIER NAVARA,2008,CC,218000,S1,14/11/2022,S1,PL,44,15,68.80733945,65-75%
1098,300000,300000,60,M,เกษตรกร,30000,PU,ISUZU,D-MAX,2022,AK,624000,S1,20/12/2022,S1,PL,37,1,48.07692308,30-50%
1100,210000,210000,60,M,พนักงานบริษัท,20000,CAR,HONDA,CITY,2013,AB,282500,S1,27/12/2022,S1,PL,45,10,74.33628319,65-75%
1101,170000,165482.26,60,M,พนักงานรัฐวิสาหกิจ,35000,CAR,HONDA,CITY,2013,AA,272500,S1,21/9/2022,S1,PL,45,10,62.3853211,65-75%
1102,124800,122441.94,36,F,พนักงานบริษัท,18000,CAR,FORD,FIESTA,2013,AI,192000,S1,11/9/2022,S1,PL,57,10,65,65-75%
1103,17200,17200,18,F,อื่นๆ,20000,MC,HONDA,SCOOPY I,2017,CB,26500,S1,21/12/2022,S1,PL,43,6,64.90566038,65-75%
1105,30000,28363.57,24,F,อื่นๆ,30000,MC,HONDA,SCOOPY I,2019,AM,46000,S1,30/9/2022,S1,PL,27,4,65.2173913,65-75%
1106,113500,111437.88,60,M,เกษตรกร,40000,PU,SUZUKI,CARRY,2013,AA,161500,S1,10/10/2022,S1,PL,57,10,70.27863777,65-75%
1107,217000,217000,60,F,STREET VENDOR,30000,CAR,TOYOTA,VIOS,2013,DU,290000,S1,15/11/2022,S1,PL,43,10,74.82758621,65-75%
1108,25000,24957.44,18,F,อื่นๆ,10000,MC,HONDA,WAVE 110 I,2013,BU,34000,S1,20/9/2022,S1,PL,35,10,73.52941176,65-75%
1110,17000,17000,36,F,STREET VENDOR,30000,MC,HONDA,SCOOPY I,2012,BO,23000,S1,30/12/2022,S1,PL,37,11,73.91304348,65-75%
1111,29000,29000,24,F,เกษตรกร,15000,MC,HONDA,WAVE 110 I,2020,EI,45000,S1,15/12/2022,S1,PL,58,3,64.44444444,65-75%
1112,11000,11000,12,F,พนักงานบริษัท,11000,MC,SUZUKI,SMASH,2011,AK,17000,S1,16/12/2022,S1,PL,46,12,64.70588235,65-75%
1113,143200,139575.19,36,F,พนักงานบริษัท,24000,CAR,TOYOTA,VIOS,2009,BL,191000,S1,12/10/2022,S1,PL,41,14,74.97382199,65-75%
1114,250000,250000,60,F,เกษตรกร,27833,PU,TOYOTA,HILUX VIGO,2014,BW,383500,S1,19/12/2022,S1,PL,53,9,65.18904824,65-75%
1115,90000,89994.23,24,F,STREET VENDOR,30000,CAR,TOYOTA,VIOS,2004,CM,119500,S1,26/7/2022,S1,PL,29,19,75.31380753,75%
1116,21000,20705.52,24,F,อื่นๆ,12000,MC,HONDA,SCOOPY I,2018,CE,28000,S1,1/11/2022,S1,PL,27,5,75,65-75%
1117,20000,18980.15,18,M,เกษตรกร,6583,MC,HONDA,WAVE 110 I,2018,DI,43000,S1,28/11/2022,S1,PL,61,5,46.51162791,30-50%
1118,100000,97169.2,60,M,ข้าราชการ,19700,PU,TOYOTA,HILUX TIGER,2001,JQ,214500,S1,5/8/2022,S1,PL,35,22,46.62004662,30-50%
1121,195000,195000,60,F,STREET VENDOR,20000,CAR,NISSAN,MARCH,2018,AU,279000,S1,15/11/2022,S1,PL,41,5,69.89247312,65-75%
1122,14000,14000,24,M,เกษตรกร,19166,MC,YAMAHA,SPARK LX 115,2016,BL,19500,S1,6/12/2022,S1,PL,51,7,71.79487179,65-75%
1123,240000,236187.87,60,F,พนักงานบริษัท,16800,CAR,TOYOTA,YARIS,2016,DX,381000,S1,8/11/2022,S1,PL,28,7,62.99212598,65-75%
1124,24000,23763.14,36,M,พนักงานบริษัท,30000,MC,YAMAHA,N-MAX 155,2016,BC,41000,S1,15/11/2022,S1,PL,36,7,58.53658537,50-65%
1125,189000,187655.99,48,F,ข้าราชการ,32980,CAR,NISSAN,TEANA,2010,AK,291000,S1,24/9/2022,S1,PL,42,13,64.94845361,65-75%
1126,30000,30000,24,F,อื่นๆ,13000,MC,HONDA,DREAM 110I,2017,CO,53000,S1,24/11/2022,S1,PL,29,6,56.60377358,50-65%
1127,31500,31230.26,36,F,STREET VENDOR,25000,MC,HONDA,WAVE 110 I,2017,CU,42000,S1,17/10/2022,S1,PL,42,6,75,65-75%
1128,50000,49757.65,36,F,พนักงานบริษัท,10800,CAR,HONDA,CITY,2003,AB,100000,S1,30/10/2022,S1,PL,32,20,50,30-50%
1129,300000,300000,60,M,พนักงานบริษัท,25000,PU,ISUZU,D-MAX,2017,DF,459500,S1,23/12/2022,S1,PL,51,6,65.28835691,65-75%
1131,210000,210000,60,F,บุคลากรทางการแพทย์,20000,CAR,TOYOTA,YARIS,2015,DS,329000,S1,21/11/2022,S1,PL,28,8,63.82978723,65-75%
1132,28000,28000,24,M,อื่นๆ,12000,MC,HONDA,SUPER CUB 110,2019,DA,38000,S1,21/12/2022,S1,PL,41,4,73.68421053,65-75%
1133,26000,24778.29,36,F,อื่นๆ,15000,MC,HONDA,WAVE 110 I,2012,AZ,35000,S1,21/10/2022,S1,PL,38,11,74.28571429,65-75%
1135,10000,9273.75,12,M,STREET VENDOR,20000,MC,HONDA,SCOOPY I,2010,BC,21000,S1,19/11/2022,S1,PL,29,13,47.61904762,30-50%
1136,27000,27000,36,M,เกษตรกร,30000,MC,HONDA,WAVE 110 I,2018,DH,43000,S1,23/12/2022,S1,PL,46,5,62.79069767,65-75%
1137,80000,77385.62,60,M,ข้าราชการ,16500,CAR,HONDA,JAZZ,2005,BG,152000,S1,16/8/2022,S1,PL,52,18,52.63157895,50-65%
1139,182000,182000,42,M,พนักงานบริษัท,18000,CAR,TOYOTA,YARIS,2014,AH,280000,S1,24/10/2022,S1,PL,32,9,65,65-75%
1140,18400,16933.72,18,F,พนักงานบริษัท,16000,MC,HONDA,CLICK 125I,2013,AI,24500,S1,20/9/2022,S1,PL,39,10,75.10204082,75%
1141,18400,18067.07,48,M,พนักงานบริษัท,25000,CAR,HONDA,CITY,1997,AR,68500,S1,11/8/2022,S1,PL,40,26,26.86131387,30%
1142,36000,36000,36,M,พนักงานบริษัท,17000,MC,HONDA,PCX 150,2014,CE,48500,S1,2/12/2022,S1,PL,47,9,74.22680412,65-75%
1143,60000,42541.63,12,F,อื่นๆ,12000,PU,ISUZU,D-MAX,2006,CN,250000,S1,4/8/2022,S1,PL,53,17,24,30%
1144,155000,151851.16,36,F,อื่นๆ,15080,VAN,TOYOTA,COMMUTER,2003,CJ,213000,S1,23/8/2022,S1,PL,58,20,72.76995305,65-75%
1145,247600,244013.79,60,M,พนักงานบริษัท,25000,CAR,TOYOTA,YARIS,2016,DX,381000,S1,20/7/2022,S1,PL,36,7,64.98687664,65-75%
1146,110000,110000,24,M,พนักงานบริษัท,19000,PU,TOYOTA,SPORT RIDER,2001,LF,184000,S1,10/12/2022,S1,PL,53,22,59.7826087,50-65%
1147,210000,204411.96,60,M,พนักงานบริษัท,18000,PU,ISUZU,D-MAX,2007,DB,267000,S1,16/11/2022,S1,PL,29,16,78.65168539,75%
1148,22000,21728.01,18,M,เกษตรกร,10000,MC,HONDA,WAVE 110 I,2013,BW,35000,S1,1/11/2022,S1,PL,69,10,62.85714286,65-75%
1149,15000,10682.18,12,M,อื่นๆ,15000,MC,HONDA,CLICK 125I,2018,BC,35500,S1,18/7/2022,S1,PL,26,5,42.25352113,30-50%
1150,29000,28663.31,36,M,STREET VENDOR,15000,MC,HONDA,WAVE 110 I,2016,CK,39000,S1,18/10/2022,S1,PL,61,7,74.35897436,65-75%
1151,239000,239000,60,F,STREET VENDOR,30000,CAR,TOYOTA,VIOS,2013,DZ,317000,S1,9/11/2022,S1,PL,55,10,75.39432177,75%
1152,36300,36300,18,M,พนักงานบริษัท,20000,MC,YAMAHA,AEROX 155,2020,AF,48500,S1,27/12/2022,S1,PL,29,3,74.84536082,65-75%
1153,20000,17403.13,24,F,เกษตรกร,10000,MC,HONDA,WAVE 110 I,2017,CT,41000,S1,7/8/2022,S1,PL,43,6,48.7804878,30-50%
1154,233000,233000,60,M,เกษตรกร,40000,PU,ISUZU,D-MAX,2006,CE,291500,S1,16/11/2022,S1,PL,37,17,79.93138937,75%
1155,120000,118712.81,48,F,พนักงานบริษัท,14000,CAR,TOYOTA,COROLLA ALTIS,2006,ES,165000,S1,30/11/2022,S1,PL,38,17,72.72727273,65-75%
1156,200000,193245.82,48,M,เกษตรกร,40000,PU,ISUZU,D-MAX,2013,CC,466500,S1,27/7/2022,S1,PL,65,10,42.87245445,30-50%
1157,10000,7808.61,12,F,STREET VENDOR,15000,MC,HONDA,WAVE 110 I,2017,CV,42000,S1,1/9/2022,S1,PL,40,6,23.80952381,30%
