,Principal Approve Amount,Principal Amount,Repayment Tenor Month Number,Gender,Occupation Description,Total Income Amount (Month),Collateral Type Code,Vehicle Brand,Vehicle Model,Vehicle Release Year,Vehicle Sub Model,Evaluation Amount,System CAR Code (Daily),System CAR Code Date,Final CAR Code Previous Month,DPD,age,Vehicle Age,per_LTV,per_LTV_cate
46,22200,22200,18,M,พนักงานบริษัท,18000,MC,HONDA,CLICK 125I,2016,AV,29500,S1,21/12/2022,S1,PL,41,7,75.25423729,75%
47,100000,93141.81,36,M,STREET VENDOR,35000,CAR,TOYOTA,CAMRY,2004,AJ,184500,S1,17/11/2022,S1,PL,43,19,54.20054201,50-65%
48,19500,19464.97,18,F,พนักงานบริษัท,18000,MC,HONDA,CLICK 125I,2014,AO,26000,S1,22/9/2022,S1,PL,48,9,75,65-75%
50,33000,33000,24,F,อื่นๆ,10000,MC,HONDA,WAVE 110 I,2021,DM,44000,S1,20/12/2022,S1,PL,55,2,75,65-75%
51,295000,295000,60,M,อื่นๆ,17000,PU,TOYOTA,HILUX VIGO,2014,BS,368000,S1,1/9/2022,S1,PL,32,9,80.16304348,75%
52,250000,247049.13,54,F,เกษตรกร,20800,PU,ISUZU,D-MAX,2015,BN,434000,S1,9/12/2022,S1,PL,46,8,57.60368664,50-65%
53,36000,36000,18,M,พนักงานบริษัท,13000,MC,YAMAHA,MT 15,2018,BO,49000,S1,18/11/2022,S1,PL,36,5,73.46938776,65-75%
54,153000,153000,60,F,STREET VENDOR,40000,CAR,HONDA,CIVIC,2008,AM,262000,S1,4/10/2022,S1,PL,43,15,58.39694656,50-65%
55,16500,15309.15,36,M,อื่นๆ,15000,MC,HONDA,WAVE 110 I,2012,AX,22000,S1,12/7/2022,S1,PL,53,11,75,65-75%
56,36500,36333.29,36,F,STREET VENDOR,15000,MC,HONDA,CB 150,2018,AI,48500,S1,26/8/2022,S1,PL,50,5,75.25773196,75%
57,25000,22976.08,12,F,เกษตรกร,25000,MC,HONDA,SUPER CUB 110,2019,DA,38000,S1,21/11/2022,S1,PL,57,4,65.78947368,65-75%
58,20000,16821.56,12,F,อื่นๆ,10000,MC,HONDA,WAVE 125 I,2019,DR,38900,S1,3/11/2022,S1,PL,40,4,51.41388175,50-65%
59,17700,16851.96,36,M,อื่นๆ,15000,MC,YAMAHA,FINO (MLEKE),2010,AL,23500,S1,4/11/2022,S1,PL,44,13,75.31914894,75%
60,136000,136000,60,M,STREET VENDOR,30000,CAR,NISSAN,XTRAIL,2007,AR,210500,S1,31/10/2022,S1,PL,53,16,64.60807601,65-75%
61,10000,7812.6,12,F,พนักงานบริษัท,12000,MC,HONDA,SCOOPY I,2013,BH,19000,S1,21/6/2022,S1,PL,27,10,52.63157895,50-65%
62,40000,37625.02,18,M,พนักงานบริษัท,18000,MC,HONDA,CLICK 150I,2021,AW,53500,S1,30/10/2022,S1,PL,31,2,74.76635514,65-75%
63,40000,39966.31,36,F,พนักงานบริษัท,25000,MC,HONDA,DREAM 110I,2017,CO,53000,S1,7/9/2022,S1,PL,42,6,75.47169811,75%
64,230000,218967.62,36,M,อื่นๆ,25000,PU,TOYOTA,HILUX VIGO,2011,ER,286000,S1,5/9/2022,S1,PL,35,12,80.41958042,75%
65,16300,16277.94,12,M,อื่นๆ,10000,CAR,TOYOTA,COROLLA,1996,CV,85000,S1,13/9/2022,S1,PL,62,27,19.17647059,30%
66,90000,90000,60,F,STREET VENDOR,20000,PU,TOYOTA,HILUX TIGER,2000,KU,152500,S1,29/8/2022,S1,PL,60,23,59.01639344,50-65%
67,8000,7928.7,12,F,อื่นๆ,9500,MC,HONDA,WAVE 100,2007,AI,20000,S1,7/7/2022,S1,PL,25,16,40,30-50%
69,27000,26326.04,36,M,พนักงานบริษัท,16000,MC,HONDA,DREAM 110,2016,CB,45000,S1,6/7/2022,S1,PL,35,7,60,50-65%
71,15000,15000,24,F,อื่นๆ,7000,MC,HONDA,SCOOPY I,2009,AQ,22000,S1,27/12/2022,S1,PL,42,14,68.18181818,65-75%
73,46000,44974.06,36,M,เกษตรกร,15000,MC,HONDA,PCX 150,2018,DD,64500,S1,27/9/2022,S1,PL,24,5,71.31782946,65-75%
74,25000,25000,12,M,อื่นๆ,12000,MC,HONDA,WAVE 110 I,2019,DU,44000,S1,12/12/2022,S1,PL,50,4,56.81818182,50-65%
75,30000,28799,24,F,พนักงานบริษัท,15000,PU,TOYOTA,HILUX VIGO,2010,CL,187500,S1,23/11/2022,S1,PL,31,13,16,30%
76,270000,267994.9,60,F,อื่นๆ,32000,PU,TOYOTA,HILUX VIGO,2014,BS,368000,S1,23/9/2022,S1,PL,61,9,73.36956522,65-75%
77,20000,17293.66,12,F,เกษตรกร,7000,MC,HONDA,WAVE 110 I,2019,DU,44000,S1,19/9/2022,S1,PL,56,4,45.45454545,30-50%
78,165000,164295.29,60,M,ข้าราชการ,20540,PU,TOYOTA,HILUX VIGO,2006,CI,237000,S1,7/10/2022,S1,PL,40,17,69.62025316,65-75%
79,31000,29735.91,36,F,อื่นๆ,8320,MC,HONDA,WAVE 110 I,2018,DG,42000,S1,1/9/2022,S1,PL,50,5,73.80952381,65-75%
81,26000,24986.66,30,M,อื่นๆ,10000,MC,HONDA,WAVE 110 I,2016,CL,40000,S1,26/9/2022,S1,PL,58,7,65,65-75%
82,150000,148551.04,60,M,อื่นๆ,30000,PU,MAZDA,BT-50,2009,BR,267000,S1,26/8/2022,S1,PL,50,14,56.17977528,50-65%
83,30000,28782.28,30,F,พนักงานบริษัท,12000,MC,HONDA,WAVE 110 I,2018,DG,42000,S1,18/12/2022,S1,PL,53,5,71.42857143,65-75%
