,Principal Approve Amount,Principal Amount,Repayment Tenor Month Number,Gender,Occupation Description,Total Income Amount (Month),Collateral Type Code,Vehicle Brand,Vehicle Model,Vehicle Release Year,Vehicle Sub Model,Evaluation Amount,System CAR Code (Daily),System CAR Code Date,Final CAR Code Previous Month,DPD,age,Vehicle Age
1429,16000.0,16000.0,36,F,เกษตรกร,13000.0,MC,HONDA,CLICK 125I,2011,AZ,22000,S2,2022-12-22,S1,NPL,66,12
1430,14000.0,14000.0,12,F,อื่นๆ,8000.0,MC,HONDA,WAVE 110 I,2010,AG,20000,S2,2022-12-25,S1,NPL,41,13
1431,34000.0,34000.0,36,M,STREET VENDOR,15000.0,MC,HONDA,WAVE 125 I,2022,CP,53000,S2,2022-12-30,S1,NPL,33,1
1432,40000.0,40000.0,24,F,STREET VENDOR,25000.0,MC,HONDA,CLICK 160,2022,CP,57100,S2,2022-12-25,S1,NPL,47,1
1433,27900.0,25804.97,24,F,STREET VENDOR,12000.0,MC,HONDA,WAVE 110 I,2015,CI,37000,S2,2022-10-31,S2,NPL,34,8
1434,20000.0,18434.0,12,M,อื่นๆ,15000.0,MC,HONDA,WAVE 110I,2019,DB,34500,S2,2023-01-10,S3,NPL,29,4
1435,28000.0,26483.19,24,F,อื่นๆ,15000.0,MC,HONDA,DREAM 110,2015,CC,44000,S2,2022-11-27,S1,NPL,34,8
1436,70000.0,66449.75,24,M,พนักงานบริษัท,30000.0,CAR,TOYOTA,COROLLA ALTIS,2005,BJ,153000,S3,2023-01-02,S2,NPL,45,18
1438,10000.0,9996.01,12,M,STREET VENDOR,18200.0,MC,HONDA,CLICK 110,2007,AC,14000,S3,2023-01-08,S2,NPL,41,16
1440,159000.0,159000.0,60,M,เกษตรกร,20000.0,CAR,TOYOTA,COROLLA ALTIS,2009,DP,211500,S3,2023-01-11,S2,NPL,37,14
1441,100000.0,97932.23,24,M,อื่นๆ,25000.0,PU,TOYOTA,HILUX TIGER,2003,BF,163000,S3,2023-01-05,S2,NPL,47,20
1442,54300.0,54179.92,36,F,STREET VENDOR,15000.0,MC,YAMAHA,N-MAX 155,2020,BJ,72500,S2,2022-10-19,S1,NPL,27,3
1443,23000.0,22506.24,24,M,STREET VENDOR,15000.0,MC,HONDA,WAVE 110 I,2013,BW,35000,S3,2023-01-08,S2,NPL,38,10
1445,75000.0,65796.25,24,M,อื่นๆ,13000.0,CAR,TOYOTA,VIOS,2004,FE,116000,S1,2023-01-12,S2,NPL,39,19
