,Principal Approve Amount,Principal Amount,Repayment Tenor Month Number,Gender,Occupation Description,Total Income Amount (Month),Collateral Type Code,Vehicle Brand,Vehicle Model,Vehicle Release Year,Vehicle Sub Model,Evaluation Amount,System CAR Code (Daily),System CAR Code Date,Final CAR Code Previous Month,DPD,age,Vehicle Age
1569,25000.0,25000.0,36,F,อื่นๆ,30000.0,MC,HONDA,WAVE 110 I,2013,BU,34000,S3,2022-12-29,S2,NPL,42,10
1570,150000.0,150000.0,60,M,อื่นๆ,25000.0,PU,TOYOTA,HILUX VIGO,2011,EK,205000,S3,2022-12-29,S2,NPL,34,12
1571,190000.0,190000.0,60,M,พนักงานรัฐวิสาหกิจ,25000.0,PU,MAZDA,BT-50PRO,2013,AO,292500,S3,2022-12-29,S2,NPL,36,10
1572,70000.0,70000.0,30,F,พนักงานบริษัท,12000.0,CAR,TOYOTA,COROLLA ALTIS,2003,DG,140500,S3,2022-12-09,S2,NPL,38,20
1573,25000.0,25000.0,30,M,พนักงานบริษัท,18000.0,MC,HONDA,WAVE 110I,2022,CK,34000,S3,2022-12-24,S2,NPL,40,1
1574,180000.0,180000.0,60,M,ข้าราชการ,36070.0,PU,ISUZU,D-MAX,2007,DB,267000,S3,2022-12-29,S2,NPL,40,16
1575,125000.0,124670.06,60,M,อื่นๆ,15000.0,CAR,HONDA,CIVIC,2003,BN,168500,S3,2022-12-06,S2,NPL,25,20
1576,120000.0,120000.0,60,F,อื่นๆ,18000.0,CAR,HONDA,JAZZ,2005,BY,163500,S3,2022-12-24,S2,NPL,38,18
1577,17700.0,17700.0,36,F,STREET VENDOR,30000.0,MC,YAMAHA,FINO (MLEKE),2010,AL,23500,S3,2022-12-06,S2,NPL,28,13
1578,34000.0,34000.0,36,M,อื่นๆ,14000.0,MC,HONDA,DREAM 110I,2017,CO,53000,S3,2022-12-14,S2,NPL,22,6
1579,154000.0,154000.0,48,M,อื่นๆ,9500.0,PU,TOYOTA,HILUX VIGO,2005,CT,192000,S3,2022-12-27,S2,NPL,47,18
1580,14000.0,14000.0,12,F,STREET VENDOR,15000.0,MC,YAMAHA,FINO (MLEKE),2009,AH,23000,S3,2022-12-24,S2,NPL,67,14
1583,144000.0,144000.0,60,M,ข้าราชการ,36000.0,CAR,TOYOTA,VIOS,2010,DX,222000,S3,2022-12-29,S2,NPL,54,13
1585,39000.0,39000.0,36,F,พนักงานบริษัท,15000.0,MC,HONDA,DREAM 110I,2017,CO,53000,S3,2022-12-29,S2,NPL,35,6
