,Principal Approve Amount,Principal Amount,Repayment Tenor Month Number,Occupation Description,Total Income Amount (Month),Collateral Type Code,Vehicle Brand,Vehicle Model,Vehicle Release Year,Vehicle Sub Model,Evaluation Amount,System CAR Code (Daily),System CAR Code Date,Final CAR Code Previous Month,DPD,age,Vehicle Age,per_LTV,per_LTV_cate,F,M
541,32000.0,31969.3,36,STREET VENDOR,13000.0,MC,HONDA,WAVE 110 I,2019,DS,43000,S1,2022-10-12,S1,PL,28,4,74.4186046511628,65-75%,1,0
542,190000.0,190000.0,60,เกษตรกร,20000.0,PU,MAZDA,BT-50,2011,BD,283500,S1,2022-12-26,S1,PL,45,12,67.01940035273368,65-75%,1,0
544,200000.0,200000.0,60,เลี้ยงสัตว์,15000.0,CAR,HONDA,CITY,2012,BQ,271000,S1,2022-11-30,S1,PL,32,11,73.80073800738008,65-75%,0,1
545,20000.0,19430.77,36,STREET VENDOR,20000.0,MC,HONDA,WAVE 110 I,2014,CJ,36000,S1,2022-10-04,S1,PL,24,9,55.55555555555556,50-65%,0,1
547,18000.0,12727.12,12,อื่นๆ,14000.0,CAR,HONDA,CITY,2002,BF,104000,S1,2022-08-11,S1,PL,36,21,17.307692307692307,30%,0,1
548,30000.0,30000.0,36,STREET VENDOR,30000.0,MC,HONDA,CLICK 125I,2019,BD,42000,S1,2022-10-18,S1,PL,32,4,71.42857142857143,65-75%,0,1
549,28200.0,26349.53,24,อื่นๆ,9000.0,CAR,MITSUBISHI,LANCER,2001,AC,94000,S1,2022-10-21,S1,PL,54,22,30.0,30%,0,1
550,30000.0,30000.0,24,อื่นๆ,15000.0,MC,YAMAHA,M-SLAZ 150,2018,BF,41000,S1,2022-11-26,S1,PL,40,5,73.17073170731707,65-75%,1,0
553,26000.0,25452.27,24,พนักงานบริษัท,9000.0,MC,HONDA,WAVE 110 I,2011,BD,35000,S1,2022-10-03,S1,PL,22,12,74.28571428571429,65-75%,1,0
554,229000.0,225743.13,24,STREET VENDOR,40000.0,CAR,HONDA,ACCORD,2007,BT,336500,S1,2022-10-24,S1,PL,36,16,68.05349182763744,65-75%,1,0
555,30000.0,30000.0,36,พนักงานบริษัท,15000.0,MC,HONDA,WAVE 110 I,2019,DO,42000,S1,2022-12-08,S1,PL,27,4,71.42857142857143,65-75%,1,0
556,25000.0,21639.63,24,พนักงานบริษัท,9000.0,MC,HONDA,PCX 150,2013,BS,41500,S1,2022-08-17,S1,PL,53,10,60.24096385542169,65-75%,1,0
557,32000.0,30599.05,36,พนักงานบริษัท,7000.0,MC,YAMAHA,YZF R15,2017,CF,48500,S1,2022-10-28,S1,PL,28,6,65.97938144329896,65-75%,1,0
558,50000.0,49074.41,60,พนักงานบริษัท,15000.0,CAR,HONDA,CITY,2002,BD,95500,S1,2022-11-03,S1,PL,42,21,52.35602094240838,50-65%,1,0
559,74400.0,74357.99,36,อื่นๆ,15000.0,PU,CHEVROLET,COLORADO,2013,BF,248000,S1,2022-09-20,S1,PL,45,10,30.0,30%,0,1
560,25000.0,25000.0,24,อื่นๆ,15000.0,MC,YAMAHA,N-MAX 155,2019,BL,52000,S1,2022-12-11,S1,PL,53,4,48.07692307692308,30-50%,0,1
561,200000.0,199939.09,60,พนักงานรัฐวิสาหกิจ,25000.0,CAR,HONDA,JAZZ,2014,CG,380000,S1,2022-06-28,S1,PL,34,9,52.63157894736842,50-65%,1,0
562,33000.0,32145.58,36,เกษตรกร,20000.0,MC,HONDA,WAVE 110 I,2019,DU,44000,S1,2022-09-27,S1,PL,39,4,75.0,65-75%,1,0
563,24000.0,24000.0,36,STREET VENDOR,15000.0,MC,HONDA,CLICK 125I,2017,BB,32500,S1,2022-11-03,S1,PL,34,6,73.84615384615385,65-75%,1,0
565,29000.0,29000.0,24,เกษตรกร,20000.0,MC,HONDA,WAVE 125 I,2019,DR,38900,S1,2022-11-29,S1,PL,37,4,74.55012853470437,65-75%,1,0
566,150000.0,147802.09,60,STREET VENDOR,25000.0,PU,TOYOTA,HILUX VIGO,2006,CL,195000,S1,2022-08-03,S1,PL,57,17,76.92307692307693,75%,1,0
567,215000.0,215000.0,60,เกษตรกร,30000.0,PU,ISUZU,MU-7,2004,CO,270000,S1,2022-12-16,S1,PL,60,19,79.62962962962963,75%,1,0
568,100000.0,99973.68,48,อื่นๆ,11000.0,CAR,MITSUBISHI,MIRAGE,2013,AD,162000,S1,2022-07-14,S1,PL,34,10,61.72839506172839,65-75%,1,0
569,18000.0,17215.32,36,STREET VENDOR,12000.0,MC,HONDA,WAVE 100,2009,AV,24000,S1,2022-08-26,S1,PL,57,14,75.0,65-75%,1,0
571,135000.0,134974.37,60,พนักงานบริษัท,30000.0,CAR,MAZDA,3,2007,CF,192500,S1,2022-07-23,S1,PL,53,16,70.12987012987013,65-75%,0,1
572,18000.0,17524.45,36,STREET VENDOR,12000.0,MC,YAMAHA,FINO (MLEKE),2012,AE,25000,S1,2022-12-09,S1,PL,62,11,72.0,65-75%,1,0
573,39700.0,39153.87,36,พนักงานรัฐวิสาหกิจ,12600.0,MC,HONDA,DREAM 110I,2017,CO,53000,S1,2022-11-17,S1,PL,37,6,74.90566037735849,65-75%,0,1
574,40000.0,40000.0,36,STREET VENDOR,30000.0,MC,HONDA,PCX 150,2017,CQ,61500,S1,2022-11-30,S1,PL,39,6,65.04065040650406,65-75%,1,0
575,28500.0,28219.86,36,เกษตรกร,10000.0,MC,HONDA,SUPER CUB 110,2019,DA,38000,S1,2022-11-15,S1,PL,59,4,75.0,65-75%,1,0
576,190000.0,190000.0,60,ข้าราชการ,15000.0,CAR,MAZDA,2,2016,BK,334500,S1,2022-12-02,S1,PL,47,7,56.80119581464873,50-65%,1,0
578,299000.0,298306.69,60,STREET VENDOR,25000.0,PU,TOYOTA,HILUX VIGO,2013,EQ,371500,S1,2022-10-04,S1,PL,47,10,80.48452220726783,75%,0,1
579,30000.0,28187.03,24,พนักงานบริษัท,13000.0,MC,HONDA,WAVE 110 I,2017,CT,41000,S1,2022-10-10,S1,PL,38,6,73.17073170731707,65-75%,0,1
580,22000.0,22000.0,24,อื่นๆ,9000.0,MC,HONDA,WAVE 110 I,2013,BW,35000,S1,2022-12-19,S1,PL,52,10,62.857142857142854,65-75%,1,0
581,25000.0,21179.26,12,อื่นๆ,15000.0,MC,HONDA,WAVE 110 I,2017,CU,42000,S1,2022-10-26,S1,PL,50,6,59.523809523809526,50-65%,0,1
582,186000.0,185975.73,60,อื่นๆ,17000.0,VAN,TOYOTA,COMMUTER,2007,ES,249000,S1,2022-10-20,S1,PL,38,16,74.69879518072288,65-75%,0,1
583,160000.0,158472.81,48,STREET VENDOR,30000.0,PU,ISUZU,D-MAX,2005,BB,213000,S1,2022-11-11,S1,PL,53,18,75.11737089201877,75%,0,1
584,80000.0,78671.92,60,อื่นๆ,15000.0,PU,TOYOTA,HILUX TIGER,2002,DT,131500,S1,2022-12-07,S1,PL,35,21,60.836501901140686,65-75%,0,1
585,33000.0,33000.0,60,เกษตรกร,20000.0,CAR,TOYOTA,CAMRY,2000,EY,124000,S1,2022-09-26,S1,PL,34,23,26.61290322580645,30%,0,1
586,70000.0,70000.0,18,พนักงานบริษัท,14700.0,CAR,HONDA,CR-V,2002,AA,150000,S1,2022-12-14,S1,PL,43,21,46.666666666666664,30-50%,1,0
588,170000.0,166747.31,48,STREET VENDOR,30000.0,PU,TOYOTA,HILUX VIGO,2005,CO,215000,S1,2022-08-04,S1,PL,44,18,79.06976744186046,75%,1,0
589,297000.0,297000.0,60,พนักงานบริษัท,14760.0,PU,TOYOTA,HILUX VIGO,2012,DU,371500,S1,2022-09-01,S1,PL,33,11,79.94616419919247,75%,1,0
590,250000.0,249735.99,60,เกษตรกร,30000.0,CAR,TOYOTA,YARIS,2017,EL,387000,S1,2022-09-29,S1,PL,53,6,64.59948320413437,65-75%,1,0
591,70500.0,70500.0,48,พนักงานรัฐวิสาหกิจ,16000.0,CAR,TOYOTA,SOLUNA,2002,CO,93500,S1,2022-12-30,S1,PL,48,21,75.40106951871658,75%,1,0
592,60000.0,54467.36,24,เกษตรกร,20000.0,PU,TOYOTA,HILUX VIGO,2013,CW,263500,S1,2022-09-13,S1,PL,54,10,22.770398481973434,30%,0,1
593,29000.0,29000.0,36,STREET VENDOR,20000.0,PU,TATA,XENON,2009,AD,97000,S1,2022-12-23,S1,PL,35,14,29.896907216494846,30%,1,0
594,30000.0,28295.02,24,เกษตรกร,12000.0,MC,VESPA,S 125,2015,AH,50500,S1,2022-10-10,S1,PL,34,8,59.4059405940594,50-65%,0,1
595,180000.0,180000.0,60,STREET VENDOR,40000.0,PU,ISUZU,D-MAX,2005,BG,226000,S1,2022-10-26,S1,PL,48,18,79.64601769911505,75%,0,1
597,230000.0,230000.0,60,พนักงานบริษัท,20000.0,CAR,TOYOTA,VIOS,2013,DZ,317000,S1,2022-12-16,S1,PL,42,10,72.55520504731862,65-75%,1,0
598,33000.0,29600.93,18,เกษตรกร,20000.0,MC,HONDA,WAVE 110 I,2022,CH,44500,S1,2022-11-14,S1,PL,55,1,74.15730337078652,65-75%,1,0
600,40000.0,37811.53,18,เกษตรกร,30000.0,PU,ISUZU,DRAGON POWER,2000,FY,170500,S1,2022-12-10,S1,PL,39,23,23.46041055718475,30%,0,1
601,27300.0,20376.39,30,อื่นๆ,8700.0,MC,HONDA,SUPER CUB 110,2018,CA,36500,S1,2022-07-24,S1,PL,35,5,74.79452054794521,65-75%,1,0
602,100000.0,97342.45,60,เกษตรกร,30000.0,TRUCK,ISUZU,FVZ12MY,1990,BO,365000,S1,2022-09-26,S1,PL,40,33,27.397260273972602,30%,0,1
603,32000.0,31364.88,24,อื่นๆ,12000.0,MC,HONDA,SCOOPY CLUB 12,2020,EK,44500,S1,2022-10-19,S1,PL,49,3,71.91011235955057,65-75%,0,1
604,187000.0,187000.0,60,อาจารย์,25300.0,PU,ISUZU,D-MAX,2004,CF,232500,S1,2022-09-02,S1,PL,33,19,80.43010752688173,75%,1,0
605,210000.0,210000.0,60,อื่นๆ,15000.0,PU,TOYOTA,HILUX VIGO,2009,CR,283500,S1,2022-09-10,S1,PL,33,14,74.07407407407408,65-75%,0,1
606,14500.0,14431.12,12,อื่นๆ,13000.0,MC,YAMAHA,FINO 115,2013,AJ,19500,S1,2022-10-30,S1,PL,46,10,74.35897435897436,65-75%,0,1
607,200000.0,199938.72,60,ข้าราชการ,15290.0,CAR,SUZUKI,SWIFT,2016,AP,284000,S1,2022-09-07,S1,PL,33,7,70.4225352112676,65-75%,0,1
608,170000.0,170000.0,60,STREET VENDOR,10000.0,PU,ISUZU,D-MAX,2005,CE,217000,S1,2022-12-14,S1,PL,59,18,78.3410138248848,75%,0,1
609,243000.0,243000.0,60,อื่นๆ,30000.0,PU,TOYOTA,FORTUNER,2006,CC,347500,S1,2022-10-04,S1,PL,62,17,69.92805755395683,65-75%,0,1
610,120000.0,118121.59,36,พนักงานบริษัท,15000.0,CAR,TOYOTA,YARIS,2013,FW,279500,S1,2022-10-27,S1,PL,37,10,42.93381037567084,30-50%,1,0
611,150000.0,149558.12,36,STREET VENDOR,20000.0,CAR,HONDA,ACCORD,2009,AA,331000,S1,2022-10-11,S1,PL,47,14,45.31722054380665,30-50%,1,0
612,32000.0,32000.0,36,STREET VENDOR,25000.0,MC,HONDA,WAVE 110 I,2018,DI,43000,S1,2022-10-06,S1,PL,46,5,74.4186046511628,65-75%,1,0
613,15000.0,14303.96,36,เกษตรกร,12000.0,MC,HONDA,WAVE 110I,2018,CP,30500,S1,2022-07-25,S1,PL,61,5,49.18032786885246,30-50%,1,0
614,14000.0,11307.24,18,เกษตรกร,23000.0,MC,YAMAHA,FINO 115,2013,AJ,19500,S1,2022-08-18,S1,PL,54,10,71.7948717948718,65-75%,0,1
616,150000.0,137973.27,36,พนักงานบริษัท,25000.0,PU,TOYOTA,HILUX VIGO,2015,BT,394000,S1,2022-07-08,S1,PL,33,8,38.07106598984771,30-50%,0,1
617,160000.0,159009.41,60,พนักงานบริษัท,16000.0,CAR,TOYOTA,VIOS,2011,BG,253500,S1,2022-10-04,S1,PL,32,12,63.116370808678504,65-75%,0,1
618,4800.0,4111.39,12,อื่นๆ,18000.0,MC,HONDA,WAVE 100,2005,AD,16000,S1,2022-10-10,S1,PL,57,18,30.0,30%,0,1
620,12000.0,9353.06,12,อื่นๆ,15000.0,MC,YAMAHA,YZF R15,2016,BX,42500,S1,2022-09-07,S1,PL,55,7,28.235294117647058,30%,0,1
621,28000.0,27990.36,36,อื่นๆ,18000.0,MC,HONDA,WAVE 110I,2019,CX,38500,S1,2022-06-23,S1,PL,37,4,72.72727272727273,65-75%,0,1
622,270000.0,269901.93,48,อาจารย์,41308.0,CAR,MITSUBISHI,PAJERO SPORT,2009,CO,386500,S1,2022-09-07,S1,PL,65,14,69.85769728331177,65-75%,0,1
623,29000.0,29000.0,36,อื่นๆ,12000.0,MC,HONDA,WAVE 110 I,2016,CI,39000,S1,2022-11-24,S1,PL,31,7,74.35897435897436,65-75%,0,1
624,50000.0,47109.58,18,STREET VENDOR,30000.0,PU,ISUZU,D-MAX,2009,BM,336000,S1,2022-12-09,S1,PL,63,14,14.880952380952381,30%,0,1
625,15000.0,13716.93,18,STREET VENDOR,30000.0,MC,HONDA,WAVE 110 I,2013,CC,35500,S1,2022-09-29,S1,PL,43,10,42.25352112676056,30-50%,1,0
626,25000.0,24675.76,30,อื่นๆ,15000.0,MC,HONDA,WAVE 110 I,2013,BU,34000,S1,2022-10-21,S1,PL,64,10,73.52941176470588,65-75%,1,0
627,10500.0,10500.0,12,STREET VENDOR,15000.0,MC,YAMAHA,MIO 115,2011,AJ,14000,S1,2022-12-22,S1,PL,50,12,75.0,65-75%,1,0
629,100000.0,99922.31,48,พนักงานรัฐวิสาหกิจ,16350.0,PU,ISUZU,D-MAX,2010,AF,376500,S1,2022-11-04,S1,PL,49,13,26.560424966799467,30%,1,0
630,50400.0,50400.0,36,พนักงานบริษัท,20000.0,MC,HONDA,PCX 150,2019,DN,72000,S1,2022-12-25,S1,PL,26,4,70.0,65-75%,1,0
631,250000.0,250000.0,60,พนักงานบริษัท,30000.0,CAR,HONDA,CITY,2015,BJ,386500,S1,2022-11-10,S1,PL,43,8,64.68305304010349,65-75%,1,0
632,90000.0,87692.71,48,อื่นๆ,9750.0,CAR,HONDA,CIVIC,2002,CE,137500,S1,2022-08-29,S1,PL,25,21,65.45454545454545,65-75%,1,0
634,4500.0,3827.72,12,เกษตรกร,8000.0,MC,HONDA,WAVE 100,2004,AB,15000,S1,2022-10-19,S1,PL,37,19,30.0,30%,1,0
635,16000.0,15991.1,12,พนักงานบริษัท,12000.0,MC,HONDA,SCOOPY I,2016,BO,24500,S1,2022-10-09,S1,PL,31,7,65.3061224489796,65-75%,0,1
636,31700.0,30592.9,24,พนักงานบริษัท,12000.0,MC,HONDA,WAVE 110 I,2018,DG,42000,S1,2022-10-26,S1,PL,37,5,75.47619047619048,75%,0,1
637,28000.0,28000.0,36,เกษตรกร,10000.0,MC,HONDA,WAVE 110 I,2012,BF,38000,S1,2022-10-11,S1,PL,47,11,73.68421052631578,65-75%,1,0
638,200000.0,190467.86,18,STREET VENDOR,30000.0,PU,TOYOTA,HILUX VIGO,2008,CG,254000,S1,2022-08-24,S1,PL,53,15,78.74015748031496,75%,1,0
639,295000.0,295000.0,60,พนักงานบริษัท,18300.0,PU,TOYOTA,HILUX VIGO,2013,EQ,371500,S1,2022-11-27,S1,PL,33,10,79.40780619111709,75%,0,1
640,24500.0,19972.56,18,อื่นๆ,17000.0,MC,HONDA,WAVE 110I,2018,CO,33000,S1,2022-07-06,S1,PL,58,5,74.24242424242425,65-75%,1,0
641,137000.0,137000.0,48,เกษตรกร,30000.0,CAR,TOYOTA,COROLLA ALTIS,2009,DP,211500,S1,2022-09-29,S1,PL,41,14,64.77541371158392,65-75%,0,1
642,20000.0,20000.0,36,พนักงานบริษัท,40000.0,MC,YAMAHA,FINN 115I,2019,AK,32000,S1,2022-12-12,S1,PL,36,4,62.5,65-75%,0,1
643,16000.0,15464.01,18,เกษตรกร,8000.0,MC,HONDA,SCOOPY I,2012,BT,28000,S1,2022-11-09,S1,PL,53,11,57.14285714285714,50-65%,1,0
644,27000.0,26752.82,36,อื่นๆ,15000.0,MC,HONDA,WAVE 110 I,2018,DH,43000,S1,2022-11-14,S1,PL,47,5,62.7906976744186,65-75%,0,1
645,27000.0,27000.0,36,อื่นๆ,8000.0,MC,HONDA,WAVE 110 I,2012,BC,36000,S1,2022-11-14,S1,PL,50,11,75.0,65-75%,1,0
646,150000.0,150000.0,60,อื่นๆ,9500.0,CAR,HONDA,CITY,2012,BT,284500,S1,2022-12-13,S1,PL,25,11,52.72407732864674,50-65%,0,1
647,261000.0,261000.0,60,STREET VENDOR,40000.0,CAR,TOYOTA,COROLLA ALTIS,2014,DP,348500,S1,2022-10-05,S1,PL,65,9,74.89239598278336,65-75%,1,0
648,15000.0,15000.0,24,STREET VENDOR,40000.0,MC,HONDA,WAVE 110 I,2011,AI,21000,S1,2022-12-17,S1,PL,53,12,71.42857142857143,65-75%,1,0
649,245000.0,245000.0,60,อื่นๆ,15000.0,CAR,TOYOTA,YARIS,2015,DS,329000,S1,2022-11-16,S1,PL,34,8,74.46808510638297,65-75%,1,0
650,136000.0,136000.0,60,STREET VENDOR,30000.0,CAR,NISSAN,XTRAIL,2007,AR,210500,S1,2022-10-31,S1,PL,53,16,64.60807600950119,65-75%,0,1
651,100000.0,99973.4,36,STREET VENDOR,20000.0,CAR,NISSAN,ALMERA,2012,BT,186000,S1,2022-08-02,S1,PL,48,11,53.76344086021505,50-65%,1,0
653,91000.0,90909.29,60,พนักงานรัฐวิสาหกิจ,15000.0,CAR,HONDA,CITY,2003,CJ,122500,S1,2022-07-21,S1,PL,45,20,74.28571428571429,65-75%,1,0
654,30000.0,29955.64,12,STREET VENDOR,12000.0,MC,HONDA,WAVE 110 I,2018,DE,41000,S1,2022-09-28,S1,PL,54,5,73.17073170731707,65-75%,0,1
655,16500.0,14215.64,12,เกษตรกร,15000.0,MC,HONDA,WAVE 125 I,2012,BM,22000,S1,2022-10-06,S1,PL,56,11,75.0,65-75%,0,1
656,30000.0,28939.86,24,อื่นๆ,10000.0,MC,HONDA,WAVE 110 I,2019,DO,42000,S1,2022-10-07,S1,PL,30,4,71.42857142857143,65-75%,0,1
658,97800.0,97800.0,48,พนักงานบริษัท,15000.0,CAR,NISSAN,MARCH,2011,AR,150500,S1,2022-09-27,S1,PL,27,12,64.98338870431894,65-75%,1,0
659,40000.0,35210.41,24,อื่นๆ,12000.0,MC,HONDA,PCX 160,2021,BR,95500,S1,2022-10-20,S1,PL,22,2,41.8848167539267,30-50%,0,1
661,150000.0,147975.33,60,อื่นๆ,20000.0,CAR,HONDA,ACCORD,2005,AR,211000,S1,2022-09-01,S1,PL,36,18,71.09004739336493,65-75%,0,1
662,28600.0,28600.0,36,พนักงานบริษัท,25000.0,PU,ISUZU,D-MAX,2013,CE,475500,S1,2022-12-08,S1,PL,41,10,6.01472134595163,30%,1,0
663,15000.0,14034.15,12,พนักงานบริษัท,10400.0,MC,HONDA,WAVE 110 I,2010,AG,20000,S1,2022-11-03,S1,PL,29,13,75.0,65-75%,1,0
664,29000.0,29000.0,24,อื่นๆ,14000.0,MC,HONDA,SCOOPY I,2019,CK,38500,S1,2022-12-26,S1,PL,56,4,75.32467532467533,75%,0,1
665,4100.0,3349.25,12,อื่นๆ,10000.0,MC,HONDA,CLICK 110,2006,AC,13500,S1,2022-10-24,S1,PL,42,17,30.37037037037037,30-50%,1,0
666,20600.0,20600.0,24,พนักงานบริษัท,17000.0,MC,YAMAHA,GRAND FILANO 125,2014,AM,27500,S1,2022-12-27,S1,PL,47,9,74.90909090909092,65-75%,1,0
667,30000.0,29915.27,12,พนักงานบริษัท,9000.0,MC,HONDA,PCX 150I,2019,CF,72000,S1,2022-09-28,S1,PL,26,4,41.66666666666667,30-50%,0,1
668,250000.0,250000.0,60,เกษตรกร,34583.0,PU,TOYOTA,HILUX VIGO,2012,EN,359000,S1,2022-12-11,S1,PL,53,11,69.63788300835655,65-75%,1,0
669,30000.0,29839.54,36,เกษตรกร,10000.0,MC,HONDA,WAVE 110 I,2019,DU,44000,S1,2022-10-17,S1,PL,51,4,68.18181818181817,65-75%,1,0
670,30000.0,30000.0,36,STREET VENDOR,15000.0,MC,HONDA,WAVE 110 I,2019,DO,42000,S1,2022-12-03,S1,PL,32,4,71.42857142857143,65-75%,1,0
671,17200.0,15759.58,18,STREET VENDOR,30000.0,MC,KAWASAKI,NEW KSR 110 PRO,2015,BF,24500,S1,2022-10-02,S1,PL,57,8,70.20408163265306,65-75%,1,0
672,21000.0,19843.42,12,อื่นๆ,8000.0,MC,HONDA,MOOVE 110I,2016,BE,29000,S1,2022-10-05,S1,PL,24,7,72.41379310344827,65-75%,1,0
673,165000.0,165000.0,60,อื่นๆ,15000.0,PU,TOYOTA,HILUX VIGO,2005,CO,215000,S1,2022-10-18,S1,PL,52,18,76.74418604651163,75%,0,1
674,30000.0,30000.0,30,อื่นๆ,17000.0,MC,HONDA,CLICK 125I,2019,BF,40000,S1,2022-12-17,S1,PL,38,4,75.0,65-75%,0,1
675,100000.0,97043.82,36,อื่นๆ,15000.0,PU,ISUZU,D-MAX,2004,BI,185000,S1,2022-12-19,S1,PL,50,19,54.054054054054056,50-65%,0,1
677,27900.0,27900.0,12,เกษตรกร,12000.0,MC,HONDA,WAVE 110 I,2019,DS,43000,S1,2022-10-08,S1,PL,40,4,64.88372093023256,65-75%,0,1
678,15000.0,13117.81,18,พนักงานบริษัท,15000.0,MC,HONDA,CZI 110,2009,BE,20000,S1,2022-08-16,S1,PL,49,14,75.0,65-75%,0,1
679,29000.0,29000.0,36,STREET VENDOR,10000.0,MC,HONDA,WAVE 125 I,2019,DR,38900,S1,2022-12-21,S1,PL,32,4,74.55012853470437,65-75%,1,0
680,16500.0,15703.19,36,อื่นๆ,9000.0,MC,HONDA,WAVE 100,2008,AO,22000,S1,2022-09-09,S1,PL,51,15,75.0,65-75%,0,1
681,33000.0,33000.0,36,เกษตรกร,12000.0,MC,HONDA,WAVE 110 I,2019,DT,44000,S1,2022-10-09,S1,PL,49,4,75.0,65-75%,1,0
682,32000.0,32000.0,36,อื่นๆ,10200.0,MC,HONDA,WAVE 110 I,2020,EE,43000,S1,2022-11-15,S1,PL,48,3,74.4186046511628,65-75%,1,0
683,32000.0,32000.0,18,พนักงานบริษัท,16200.0,MC,HONDA,WAVE 110 I,2020,EE,43000,S1,2022-12-19,S1,PL,32,3,74.4186046511628,65-75%,0,1
684,120000.0,120000.0,60,STREET VENDOR,20000.0,CAR,FORD,FIESTA,2011,CI,175000,S1,2022-09-13,S1,PL,37,12,68.57142857142857,65-75%,1,0
685,14000.0,14000.0,24,พนักงานบริษัท,24000.0,MC,HONDA,AIR-BLADE,2008,AZ,19500,S1,2022-12-08,S1,PL,38,15,71.7948717948718,65-75%,0,1
686,30000.0,27878.33,36,STREET VENDOR,12000.0,MC,HONDA,CLICK 125I,2022,AW,47000,S1,2022-07-16,S1,PL,44,1,63.829787234042556,65-75%,1,0
687,180000.0,180000.0,60,อาจารย์,10000.0,PU,TOYOTA,HILUX VIGO,2006,CK,226000,S1,2022-09-21,S1,PL,34,17,79.64601769911505,75%,1,0
688,260000.0,255780.07,60,พนักงานบริษัท,21000.0,PU,MITSUBISHI,TRITON,2012,BU,372000,S1,2022-10-20,S1,PL,38,11,69.89247311827957,65-75%,0,1
689,260000.0,260000.0,60,พนักงานบริษัท,23000.0,PU,MITSUBISHI,TRITON,2020,AN,380000,S1,2022-09-19,S1,PL,43,3,68.42105263157895,65-75%,0,1
690,250000.0,249270.66,60,STREET VENDOR,25000.0,PU,TOYOTA,HILUX VIGO,2008,FF,319000,S1,2022-09-04,S1,PL,49,15,78.36990595611285,75%,1,0
691,26000.0,24776.95,36,อื่นๆ,15000.0,MC,HONDA,WAVE 110 I,2013,BW,35000,S1,2022-11-09,S1,PL,57,10,74.28571428571429,65-75%,0,1
692,126000.0,126000.0,60,อื่นๆ,15000.0,CAR,TOYOTA,COROLLA ALTIS,2006,DZ,168500,S1,2022-12-14,S1,PL,31,17,74.77744807121661,65-75%,0,1
693,200000.0,195184.79,60,STREET VENDOR,20000.0,PU,MAZDA,BT-50PRO,2014,BR,359000,S1,2022-11-01,S1,PL,38,9,55.71030640668524,50-65%,1,0
694,16000.0,11204.91,18,GOLDSMITHS,40000.0,MC,HONDA,WAVE 125 I,2014,CD,25500,S1,2022-06-27,S1,PL,44,9,62.745098039215684,65-75%,0,1
695,33000.0,31398.17,36,พนักงานบริษัท,12300.0,MC,HONDA,WAVE 110 I,2019,DU,44000,S1,2022-10-31,S1,PL,28,4,75.0,65-75%,1,0
696,50000.0,47725.11,36,STREET VENDOR,30000.0,MC,HONDA,PCX 150,2020,ED,76500,S1,2022-11-11,S1,PL,48,3,65.359477124183,65-75%,1,0
697,190000.0,190000.0,60,พนักงานบริษัท,37387.0,CAR,HONDA,ACCORD,2007,AB,256500,S1,2022-12-09,S1,PL,61,16,74.07407407407408,65-75%,1,0
698,30000.0,27997.56,36,STREET VENDOR,10000.0,MC,HONDA,WAVE 110 I,2020,EE,43000,S1,2022-10-28,S1,PL,43,3,69.76744186046511,65-75%,1,0
699,30700.0,30700.0,36,พนักงานบริษัท,14000.0,MC,HONDA,WAVE 110 I,2018,DE,41000,S1,2022-12-09,S1,PL,45,5,74.8780487804878,65-75%,1,0
700,16000.0,16269.38,12,อื่นๆ,16000.0,CAR,TOYOTA,VIOS,2014,DH,299500,S1,2022-10-05,S1,PL,39,9,5.342237061769616,30%,1,0
701,30700.0,30699.43,18,เกษตรกร,10000.0,MC,HONDA,WAVE 110 I,2017,CT,41000,S1,2022-10-07,S1,PL,68,6,74.8780487804878,65-75%,1,0
704,32000.0,31194.21,36,เกษตรกร,20000.0,MC,HONDA,WAVE 110 I,2020,EE,43000,S1,2022-10-07,S1,PL,46,3,74.4186046511628,65-75%,0,1
705,190000.0,187823.26,60,พนักงานบริษัท,30000.0,CAR,NISSAN,SYLPHY,2013,AA,272000,S1,2022-10-27,S1,PL,38,10,69.85294117647058,65-75%,1,0
706,26000.0,25901.26,36,เกษตรกร,15000.0,MC,HONDA,WAVE 110 I,2016,CL,40000,S1,2022-08-22,S1,PL,39,7,65.0,65-75%,1,0
707,270000.0,270000.0,60,พนักงานบริษัท,25000.0,PU,TOYOTA,HILUX VIGO,2012,EM,337000,S1,2022-10-19,S1,PL,30,11,80.1186943620178,75%,1,0
710,20000.0,19238.55,18,พนักงานบริษัท,18000.0,MC,HONDA,CLICK 125I,2019,BF,40000,S1,2022-10-24,S1,PL,48,4,50.0,30-50%,1,0
712,123100.0,122630.61,60,อื่นๆ,13000.0,CAR,MITSUBISHI,MIRAGE,2013,AC,189500,S1,2022-11-14,S1,PL,40,10,64.96042216358839,65-75%,1,0
713,18500.0,18500.0,36,STREET VENDOR,12000.0,MC,GPX,ROCK ELEGNACE,2021,AR,26500,S1,2022-11-02,S1,PL,30,2,69.81132075471697,65-75%,1,0
714,25000.0,25000.0,36,อื่นๆ,15000.0,MC,HONDA,WAVE 110 I,2016,CM,40000,S1,2022-12-14,S1,PL,46,7,62.5,65-75%,1,0
715,14300.0,12811.16,24,STREET VENDOR,12000.0,MC,YAMAHA,SPARK 115 I,2012,AG,19000,S1,2022-08-09,S1,PL,55,11,75.26315789473685,75%,1,0
716,26000.0,25731.04,36,อื่นๆ,11000.0,MC,HONDA,WAVE 110 I,2012,AZ,35000,S1,2022-09-14,S1,PL,34,11,74.28571428571429,65-75%,1,0
