,Principal Approve Amount,Principal Amount,Repayment Tenor Month Number,Occupation Description,Total Income Amount (Month),Collateral Type Code,Vehicle Brand,Vehicle Model,Vehicle Release Year,Vehicle Sub Model,Evaluation Amount,System CAR Code (Daily),System CAR Code Date,Final CAR Code Previous Month,DPD,age,Vehicle Age,per_LTV,per_LTV_cate,F,M
40,26300.0,26300.0,36,STREET VENDOR,30000.0,CAR,HONDA,CITY,2000,DQ,92500,S1,2022-12-03,S1,PL,52,23,28.43243243243243,30%,0,1
41,30700.0,30687.88,36,พนักงานบริษัท,17500.0,MC,YAMAHA,M-SLAZ 150,2018,BF,41000,S1,2022-06-30,S1,PL,33,5,74.8780487804878,65-75%,0,1
44,50000.0,47278.17,24,STREET VENDOR,15000.0,MC,HONDA,PCX 150,2019,DN,72000,S1,2022-09-26,S1,PL,61,4,69.44444444444444,65-75%,0,1
45,129000.0,129000.0,36,พนักงานบริษัท,23000.0,CAR,HONDA,CIVIC,2005,AY,171500,S1,2022-08-25,S1,PL,41,18,75.21865889212827,75%,0,1
46,22200.0,22200.0,18,พนักงานบริษัท,18000.0,MC,HONDA,CLICK 125I,2016,AV,29500,S1,2022-12-21,S1,PL,41,7,75.2542372881356,75%,0,1
47,100000.0,93141.81,36,STREET VENDOR,35000.0,CAR,TOYOTA,CAMRY,2004,AJ,184500,S1,2022-11-17,S1,PL,43,19,54.20054200542005,50-65%,0,1
48,19500.0,19464.97,18,พนักงานบริษัท,18000.0,MC,HONDA,CLICK 125I,2014,AO,26000,S1,2022-09-22,S1,PL,48,9,75.0,65-75%,1,0
50,33000.0,33000.0,24,อื่นๆ,10000.0,MC,HONDA,WAVE 110 I,2021,DM,44000,S1,2022-12-20,S1,PL,55,2,75.0,65-75%,1,0
51,295000.0,295000.0,60,อื่นๆ,17000.0,PU,TOYOTA,HILUX VIGO,2014,BS,368000,S1,2022-09-01,S1,PL,32,9,80.16304347826086,75%,0,1
52,250000.0,247049.13,54,เกษตรกร,20800.0,PU,ISUZU,D-MAX,2015,BN,434000,S1,2022-12-09,S1,PL,46,8,57.6036866359447,50-65%,1,0
53,36000.0,36000.0,18,พนักงานบริษัท,13000.0,MC,YAMAHA,MT 15,2018,BO,49000,S1,2022-11-18,S1,PL,36,5,73.46938775510205,65-75%,0,1
54,153000.0,153000.0,60,STREET VENDOR,40000.0,CAR,HONDA,CIVIC,2008,AM,262000,S1,2022-10-04,S1,PL,43,15,58.396946564885496,50-65%,1,0
55,16500.0,15309.15,36,อื่นๆ,15000.0,MC,HONDA,WAVE 110 I,2012,AX,22000,S1,2022-07-12,S1,PL,53,11,75.0,65-75%,0,1
56,36500.0,36333.29,36,STREET VENDOR,15000.0,MC,HONDA,CB 150,2018,AI,48500,S1,2022-08-26,S1,PL,50,5,75.25773195876289,75%,1,0
57,25000.0,22976.08,12,เกษตรกร,25000.0,MC,HONDA,SUPER CUB 110,2019,DA,38000,S1,2022-11-21,S1,PL,57,4,65.78947368421053,65-75%,1,0
58,20000.0,16821.56,12,อื่นๆ,10000.0,MC,HONDA,WAVE 125 I,2019,DR,38900,S1,2022-11-03,S1,PL,40,4,51.41388174807198,50-65%,1,0
59,17700.0,16851.96,36,อื่นๆ,15000.0,MC,YAMAHA,FINO (MLEKE),2010,AL,23500,S1,2022-11-04,S1,PL,44,13,75.31914893617021,75%,0,1
60,136000.0,136000.0,60,STREET VENDOR,30000.0,CAR,NISSAN,XTRAIL,2007,AR,210500,S1,2022-10-31,S1,PL,53,16,64.60807600950119,65-75%,0,1
61,10000.0,7812.6,12,พนักงานบริษัท,12000.0,MC,HONDA,SCOOPY I,2013,BH,19000,S1,2022-06-21,S1,PL,27,10,52.63157894736842,50-65%,1,0
62,40000.0,37625.02,18,พนักงานบริษัท,18000.0,MC,HONDA,CLICK 150I,2021,AW,53500,S1,2022-10-30,S1,PL,31,2,74.76635514018692,65-75%,0,1
63,40000.0,39966.31,36,พนักงานบริษัท,25000.0,MC,HONDA,DREAM 110I,2017,CO,53000,S1,2022-09-07,S1,PL,42,6,75.47169811320755,75%,1,0
64,230000.0,218967.62,36,อื่นๆ,25000.0,PU,TOYOTA,HILUX VIGO,2011,ER,286000,S1,2022-09-05,S1,PL,35,12,80.41958041958041,75%,0,1
65,16300.0,16277.94,12,อื่นๆ,10000.0,CAR,TOYOTA,COROLA,1996,CV,85000,S1,2022-09-13,S1,PL,62,27,19.176470588235293,30%,0,1
66,90000.0,90000.0,60,STREET VENDOR,20000.0,PU,TOYOTA,HILUX TIGER,2000,KU,152500,S1,2022-08-29,S1,PL,60,23,59.01639344262295,50-65%,1,0
67,8000.0,7928.7,12,อื่นๆ,9500.0,MC,HONDA,WAVE 100,2007,AI,20000,S1,2022-07-07,S1,PL,25,16,40.0,30-50%,1,0
69,27000.0,26326.04,36,พนักงานบริษัท,16000.0,MC,HONDA,DREAM 110,2016,CB,45000,S1,2022-07-06,S1,PL,35,7,60.0,50-65%,0,1
71,15000.0,15000.0,24,อื่นๆ,7000.0,MC,HONDA,SCOOPY I,2009,AQ,22000,S1,2022-12-27,S1,PL,42,14,68.18181818181817,65-75%,1,0
73,46000.0,44974.06,36,เกษตรกร,15000.0,MC,HONDA,PCX 150,2018,DD,64500,S1,2022-09-27,S1,PL,24,5,71.31782945736434,65-75%,0,1
74,25000.0,25000.0,12,อื่นๆ,12000.0,MC,HONDA,WAVE 110 I,2019,DU,44000,S1,2022-12-12,S1,PL,50,4,56.81818181818182,50-65%,0,1
75,30000.0,28799.0,24,พนักงานบริษัท,15000.0,PU,TOYOTA,HILUX VIGO,2010,CL,187500,S1,2022-11-23,S1,PL,31,13,16.0,30%,1,0
76,270000.0,267994.9,60,อื่นๆ,32000.0,PU,TOYOTA,HILUX VIGO,2014,BS,368000,S1,2022-09-23,S1,PL,61,9,73.36956521739131,65-75%,1,0
77,20000.0,17293.66,12,เกษตรกร,7000.0,MC,HONDA,WAVE 110 I,2019,DU,44000,S1,2022-09-19,S1,PL,56,4,45.45454545454545,30-50%,1,0
78,165000.0,164295.29,60,ข้าราชการ,20540.0,PU,TOYOTA,HILUX VIGO,2006,CI,237000,S1,2022-10-07,S1,PL,40,17,69.62025316455697,65-75%,0,1
79,31000.0,29735.91,36,อื่นๆ,8320.0,MC,HONDA,WAVE 110 I,2018,DG,42000,S1,2022-09-01,S1,PL,50,5,73.80952380952381,65-75%,1,0
81,26000.0,24986.66,30,อื่นๆ,10000.0,MC,HONDA,WAVE 110 I,2016,CL,40000,S1,2022-09-26,S1,PL,58,7,65.0,65-75%,0,1
82,150000.0,148551.04,60,อื่นๆ,30000.0,PU,MAZDA,BT-50,2009,BR,267000,S1,2022-08-26,S1,PL,50,14,56.17977528089888,50-65%,0,1
83,30000.0,28782.28,30,พนักงานบริษัท,12000.0,MC,HONDA,WAVE 110 I,2018,DG,42000,S1,2022-12-18,S1,PL,53,5,71.42857142857143,65-75%,1,0
84,20000.0,20000.0,12,STREET VENDOR,10000.0,PU,ISUZU,D-MAX,2011,CB,351500,S1,2022-12-26,S1,PL,53,12,5.689900426742532,30%,0,1
85,88000.0,87438.45,60,พนักงานบริษัท,16000.0,CAR,HONDA,CIVIC,2002,CE,137500,S1,2022-11-18,S1,PL,29,21,64.0,65-75%,0,1
